feature,spearman_raw,p_raw,spearman_resid_ctrl_len,p_resid
len_chars,-0.19615112023880282,0.0,,
char_entropy,0.03424090800349594,2.455503861047831e-27,-0.01457191250984874,4.061105439654801e-06
zlib_bpc,0.052371077973132917,1.104164220815838e-61,-0.07655978952301157,7.35476337292041e-130
n_tokens,,,,
compression_ratio,0.19615112023880282,0.0,0.17130635130324723,0.0
log_token_count,,,,
merge_rank_mean,0.24818458540474866,0.0,0.14840734324812288,0.0
merge_rank_min,0.20325717016221442,0.0,0.24028761204729024,0.0
merge_rank_max,0.004806840775198044,0.1284993395947917,0.19486285358427444,0.0
max_token_len,-0.0903318535626237,3.4159006594440828e-180,-0.008002904624717066,0.011381909072325743
mean_token_len,-0.19933370383466628,0.0,0.07148087504075427,2.055859054353168e-113
frac_single_char_tokens,0.2332683020410984,0.0,0.14409369733497335,0.0
